"Experimental_Group","Participant","Top5_Messages","Message1","Message2","Message3","Message4","Message5","Dis_AI1","Dis_AI2","Dis_AI3","Dis_AI4","Dis_AI5","Dis_AI6","Dis_AI7","Dis_AI8","Dis_AI9","Dis_AI10","Dis_AI11","Dis_AI12","Dis_AI13","Dis_AI14","Dis_AI15","Dis_Hum1","Dis_Hum2","Dis_Hum3","Dis_Hum4","Dis_Hum5","Dis_Hum6","Dis_Hum7","Dis_Hum8","Dis_Hum9","Dis_Hum10","Dis_Hum11","Dis_Hum12","Dis_Hum13","Dis_Hum14","Dis_Hum15","Con_AI1","Con_AI2","Con_AI3","Con_AI4","Con_AI5","Con_AI6","Con_AI7","Con_AI8","Con_AI9","Con_AI10","Con_AI11","Con_AI12","Con_AI13","Con_AI14","Con_AI15","Con_Hum1","Con_Hum2","Con_Hum3","Con_Hum4","Con_Hum5","Con_Hum6","Con_Hum7","Con_Hum8","Con_Hum9","Con_Hum10","Con_Hum11","Con_Hum12","Con_Hum13","Con_Hum14","Con_Hum15","Unp_AI1","Unp_AI2","Unp_AI3","Unp_AI4","Unp_AI5","Unp_AI6","Unp_AI7","Unp_AI8","Unp_AI9","Unp_AI10","Unp_AI11","Unp_AI12","Unp_AI13","Unp_AI14","Unp_AI15","Unp_Hum1","Unp_Hum2","Unp_Hum3","Unp_Hum4","Unp_Hum5","Unp_Hum6","Unp_Hum7","Unp_Hum8","Unp_Hum9","Unp_Hum10","Unp_Hum11","Unp_Hum12","Unp_Hum13","Unp_Hum14","Unp_Hum15","Per_AI1","Per_AI2","Per_AI3","Per_AI4","Per_AI5","Per_AI6","Per_AI7","Per_AI8","Per_AI9","Per_AI10","Per_AI11","Per_AI12","Per_AI13","Per_AI14","Per_AI15","Per_AI16","Per_AI17","Per_AI18","Per_AI19","Per_AI20","Vape_Exp1","Vape_Exp3","Vape_Exp2","Age","Sex","Ethnicity","Source"
"Disclosed",1,"22,24,25,28,29","22","24","25","28","29","3","3","3","3","3","3","3","3","3","3","3","2","2","3","3","3","4","5","4","3","4","3","3","4","4","3","4","3","2","3","4","4","4","4","4","4","4","4","4","4","4","3","4","4","4","4","4","3","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","3","4","4","4","4","4","4","4","4","4","4","5","4","2","3","3","3","4","3","3","3","2","3","3","3","1","3","4","3","3","3","5","3","1","0","4","35","Female","White","Prolific"
"Not Disclosed",2,"6,12,13,15,29","6","12","13","15","29","5","5","4","5","5","5","5","5","5","5","5","3","3","5","5","4","5","4","5","5","5","4","4","5","5","5","5","4","4","3","5","1","2","5","5","5","5","5","5","5","5","3","3","5","3","2","4","1","5","4","5","4","4","4","5","4","4","2","4","4","5","2","1","5","5","5","5","5","5","5","5","2","2","4","2","2","5","2","5","2","5","5","2","5","5","5","5","2","4","4","4","4","2","3","5","2","4","2","2","2","3","3","4","4","2","4","3","4","4","5","2",NA,NA,"42","Female","White","Prolific"
"Disclosed",3,"6,7,9,15,24","6","7","9","15","24","5","5","5","5","5","5","5","5","5","5","5","4","5","5","5","5","5","5","5","5","5","4","5","4","5","5","5","5","5","5","5","4","4","5","5","5","5","5","5","5","5","4","4","5","4","5","5","4","5","5","5","5","5","4","5","5","5","4","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","4","5","5","5","5","5","5","5","5","5","5","5","5","4","5","4","4","5","4","4","4","3","4","4","5","4","5","4","4","5","4","3","3","1","30","6","47","Female","White","Prolific"
"Not Disclosed",4,"6,9,16,18,30","6","9","16","18","30","2","3","1","2","3","3","3","3","2","4","4","4","1","3","4","2","1","3","2","3","4","2","3","5","1","1","2","3","3","1","2","3","3","2","2","3","3","3","2","2","2","3","2","3","3","2","3","2","3","3","3","3","2","3","3","2","2","2","3","3","2","3","3","3","3","2","3","2","3","3","3","3","3","2","2","3","3","2","3","3","2","2","3","2","3","3","3","3","3","3","5","4","4","5","4","3","4","2","5","2","3","5","3","3","1","5","3","4","1","4","1","0","6","27","Male","White","Prolific"
"Not Disclosed",5,"6,13,20,22,31","6","13","20","22","31","2","4","2","3","2","3","4","3","4","3","2","2","2","2","3","4","2","4","3","3","4","2","4","2","4","3","4","3","4","3","4","2","2","5","4","4","4","4","4","4","3","1","2","2","3","4","1","3","3","4","3","2","4","3","4","4","5","2","4","3","3","3","2","4","3","2","3","3","4","3","4","1","2","2","2","4","2","4","4","4","4","3","4","4","5","4","4","3","3","4","1","3","4","1","1","3","1","4","1","4","1","2","2","2","4","1","1","1","4","2","1","0","2","34","Male","White","Prolific"
"Not Disclosed",6,"6,11,15,35,30","6","11","15","35","30","2","2","2","4","2","4","4","4","4","4","4","1","4","4","2","2","4","2","4","4","2","4","4","2","4","4","4","2","3","2","4","2","2","4","2","4","4","3","4","2","4","2","2","2","2","2","2","2","4","2","2","4","4","2","4","4","4","2","4","2","2","2","1","4","2","3","4","2","4","2","2","2","1","2","2","3","2","2","2","2","2","2","2","1","3","4","4","1","5","2","4","4","4","4","2","4","3","3","2","3","4","4","4","5","1","4","4","4","2","4","2",NA,NA,"55","Male","White","Prolific"
"Not Disclosed",7,"5,6,7,13,31","5","6","7","13","31","5","5","5","5","5","5","5","5","5","5","5","2","5","5","4","5","5","2","5","5","5","4","5","2","5","5","5","4","5","4","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","4","5","5","5","5","5","4","5","5","5","5","5","4","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","2","5","5","5","5","5","5","5","5","5","5","5","5","1","4","2","2","4","2","2","1","2","2","4","4","1","4","1","4","4","4","1","1","2",NA,NA,"59","Female","White","Prolific"
"Not Disclosed",8,"7,13,24,28,29","7","13","24","28","29","5","4","5","4","4","4","5","4","4","5","4","4","4","5","5","2","4","3","4","4","4","5","5","5","5","5","5","5","4","3","5","4","5","4","4","5","5","5","5","4","4","4","4","4","5","5","4","4","5","5","4","3","5","5","5","4","4","5","4","5","4","5","5","5","5","4","4","5","4","5","5","5","5","4","5","5","5","5","5","5","4","4","4","5","5","5","5","5","4","5","3","4","4","4","5","3","5","3","5","4","4","4","4","5","2","4","3","5","2","3","2",NA,NA,"40","Female","White","Prolific"
"Disclosed",9,"4,6,7,9,11","4","6","7","9","11","4","4","3","5","5","5","5","3","5","4","5","4","2","3","5","2","4","2","5","2","5","2","2","2","4","2","5","2","4","2","4","4","5","4","4","5","4","4","5","2","5","5","5","4","4","2","4","2","4","4","4","2","2","4","4","3","4","3","2","2","5","5","5","5","5","5","5","5","5","5","5","5","5","4","5","3","5","2","5","5","5","3","4","5","5","4","5","4","4","2","1","3","4","4","4","4","1","4","4","5","4","2","1","4","5","2","2","2","4","4","2",NA,NA,"63","Female","White","Prolific"
"Disclosed",10,"5,11,14,29,23","5","11","14","29","23","3","5","3","3","4","5","5","5","4","5","5","5","4","4","4","3","3","3","5","3","4","3","3","4","4","3","3","5","3","3","3","4","4","3","4","5","5","5","5","4","5","5","5","4","4","3","3","3","5","4","5","3","3","3","3","4","3","5","3","3","3","5","3","3","5","5","5","5","4","4","5","5","5","4","5","3","3","2","5","3","5","3","5","3","4","3","3","5","3","3","3","5","4","3","4","4","5","2","4","4","4","4","3","4","3","3","4","4","2","3","2",NA,NA,"42","Male","White","Prolific"
"Not Disclosed",11,"5,6,11,13,25","5","6","11","13","25","4","4","4","3","4","4","4","3","3","4","4","4","3","3","4","4","3","4","4","4","4","2","4","4","4","3","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","2","4","4","3","4","4","2","3","3","3","2","4","2","3","4","4","4","3","4","4","4","4","4","4","4","4","4","4","4","4","2","3","4","4","4","4","3","4","2","4","3","4","4","4","4","2","4","4","3","4","4","4","2","2","2","4","4","2","3","2","2","4","2","2","3","1","0","2","25","Female","White","Prolific"
"Disclosed",12,"9,15,18,24,25","9","15","18","24","25","4","4","4","4","5","5","3","3","4","5","4","1","4","4","4","2","2","2","5","4","4","3","3","3","4","3","4","4","4","4","5","2","1","4","5","4","4","3","5","3","5","2","4","2","3","2","2","1","4","4","2","3","4","3","2","4","4","4","2","3","4","3","2","3","3","4","4","2","4","2","5","1","2","4","2","2","2","2","4","4","3","2","3","4","4","3","5","2","4","3","4","5","3","4","4","3","3","1","2","3","4","4","4","4","2","5","4","3","4","3","1","0","6","27","Female","Mixed","Prolific"
"Disclosed",13,"35,24,25,28,29","35","24","25","28","29","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","3","1","1","4","4","3","2","3","5","4","4","4","3","3","1","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","3","4","4","4","5","4","4","5","4","1","3","3","3","1","5","1","3","1","3","3","1","1","3","1","1","3","1","1","3","2",NA,NA,"39","Male","White","Prolific"
"Not Disclosed",14,"6,9,11,19,26","6","9","11","19","26","5","5","4","5","5","5","5","5","5","5","5","3","5","5","5","3","3","5","5","4","4","5","4","4","4","5","5","4","5","4","5","5","4","4","5","5","4","5","4","5","5","5","5","4","5","3","4","5","5","5","4","5","5","4","5","5","5","3","5","4","4","3","3","5","5","5","5","5","4","4","5","2","5","4","2","2","3","1","5","3","4","5","5","4","5","4","5","3","5","4","5","4","3","4","5","3","4","2","4","4","4","5","4","5","1","3","4","5","1","3","2",NA,NA,"57","Female","White","Prolific"
"Disclosed",15,"9,11,15,24,31","9","11","15","24","31","5","4","2","5","5","5","5","5","5","5","5","2","2","4","4","4","5","2","5","5","5","5","5","5","5","5","5","4","5","4","5","3","5","5","5","5","5","5","5","4","5","2","4","4","3","4","5","2","5","5","5","5","5","5","5","5","5","5","5","5","5","4","3","5","5","5","5","5","5","5","5","4","5","5","5","5","5","3","5","5","5","5","5","5","5","5","5","2","5","5","2","3","4","4","5","3","4","3","4","3","4","4","4","4","2","5","3","4","3","4","2",NA,NA,"47","Female","Black","Prolific"
"Disclosed",16,"15,16,17,19,25","15","16","17","19","25","4","2","4","3","4","4","2","2","3","2","4","5","4","3","3","2","4","1","2","4","4","1","3","2","2","2","2","2","1","1","4","2","4","4","3","3","4","2","2","2","5","5","4","3","4","3","4","1","4","3","4","1","2","3","4","2","3","2","2","2","3","4","4","4","4","4","4","2","3","2","4","5","2","2","3","3","4","2","2","4","5","1","3","3","2","2","2","4","2","2","2","4","2","4","5","2","4","2","3","2","4","4","4","5","1","4","4","3","2","4","1","0","6"," ","Male","White","Prolific"
"Not Disclosed",17,"18,35,29,30,23","18","35","29","30","23","5","5","5","5","5","5","5","5","5","5","5","5","4","5","4","4","5","5","5","4","4","5","5","5","5","5","5","4","5","3","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","4","5","5","4","5","5","5","5","5","4","4","5","4","5","5","1","5","5","5","5","5","5","5","5","5","4","5","5","3","3","3","3","5","3","2","2","1","2","3","2","3","3","4","3","4","3","2","3","2",NA,NA,"71","Female","White","Prolific"
"Not Disclosed",18,"1,11,13,35,23","1","11","13","35","23","4","4","2","3","4","3","4","4","4","3","4","3","2","4","4","3","3","2","4","3","4","2","4","4","4","4","3","3","4","3","5","5","5","4","5","5","5","5","5","4","4","4","5","4","5","4","4","3","5","5","5","4","5","5","5","5","5","5","5","4","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","3","3","4","3","4","3","3","4","3","4","3","3","3","4","3","3","4","2","3","5","2",NA,NA,"60","Female","White","Prolific"
"Not Disclosed",19,"7,9,13,18,23","7","9","13","18","23","5","5","5","5","5","5","5","5","5","5","5","3","4","5","5","3","3","3","5","4","5","5","3","4","5","5","5","5","5","4","5","4","5","5","5","5","5","5","5","4","5","2","4","4","4","4","4","3","5","4","5","5","5","4","5","4","5","3","5","4","5","5","5","5","5","5","5","4","5","5","5","3","4","5","4","3","4","3","4","4","5","5","5","4","5","5","5","4","5","4","2","4","4","4","5","4","4","2","3","3","4","4","2","4","3","3","4","3","4","3","1","0","1","32","Female","White","Prolific"
"Not Disclosed",20,"13,15,16,29,23","13","15","16","29","23","4","3","2","3","3","4","4","3","4","3","5","4","3","3","2","2","3","3","4","2","3","2","3","3","3","2","3","4","5","3","2","2","2","5","3","3","5","3","4","4","4","2","2","3","2","2","2","2","5","3","2","2","4","2","4","4","4","4","5","2","2","3","2","4","2","3","4","3","4","4","4","2","2","3","2","2","2","2","4","3","2","2","3","2","4","4","3","2","5","2","2","4","4","3","3","4","3","2","3","3","4","4","3","4","4","3","3","3","3","2","2",NA,NA,"69","Female","White","Prolific"
"Disclosed",21,"4,17,19,28,36","4","17","19","28","36","5","5","5","5","5","5","5","5","5","5","5","4","5","5","5","4","5","5","5","5","5","4","5","5","5","5","5","2","5","5","5","5","5","5","5","5","5","5","5","5","5","5","4","5","5","4","5","5","5","5","5","4","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","4","5","4","5","5","5","4","4","5","5","5","5","4","5","5","4","5","5","2","5","3","2","3","3","3","3","3","1","4","3","3","3","3","2","3","3","3","3","2","3","3","2",NA,NA,"62","Male","White","Prolific"
"Not Disclosed",22,"1,4,7,11,18","1","4","7","11","18","5","5","5","5","5","5","5","5","5","5","5","3","5","5","5","3","5","1","5","5","5","3","3","5","5","3","5","5","5","5","3","5","5","5","5","5","5","5","5","5","5","3","4","5","3","3","3","2","5","5","5","2","3","3","5","3","5","3","5","4","5","5","5","4","5","3","5","5","5","5","5","5","5","5","5","3","5","1","5","5","5","1","3","4","5","5","5","3","4","5","1","3","1","3","3","5","2","3","3","3","3","3","2","3","3","1","3","1","1","1","2",NA,NA,"23","Male","Black","Prolific"
"Not Disclosed",23,"1,11,15,35,29","1","11","15","35","29","5","4","4","5","4","5","5","4","3","3","3","1","3","2","5","3","4","1","5","4","5","3","3","3","4","3","3","4","4","2","5","3","2","4","4","4","5","5","5","4","5","2","3","4","4","3","3","2","5","4","3","4","4","3","5","4","4","4","4","3","5","3","2","4","4","4","5","4","5","3","4","2","3","3","3","3","3","3","5","3","4","3","4","2","5","3","5","3","4","3","1","3","5","1","3","4","2","4","3","4","3","3","2","3","4","2","2","2","4","4","2",NA,NA,"54","Female","White","Prolific"
"Not Disclosed",24,"13,29,30,31,23","13","29","30","31","23","5","5","5","5","5","5","5","4","5","5","5","4","5","4","4","3","5","3","5","5","5","5","5","5","5","5","5","3","5","3","4","4","4","4","5","5","5","4","5","4","5","3","4","3","4","4","4","3","5","4","4","5","5","4","5","5","5","4","5","3","5","5","4","5","5","5","4","4","5","4","5","3","4","4","5","4","4","3","5","4","5","5","4","4","5","5","5","4","5","3","2","2","5","3","4","4","3","2","2","2","4","3","2","4","2","2","3","2","3","3","1","0","1","30","Female","White","Prolific"
"Disclosed",25,"12,15,19,22,25","12","15","19","22","25","4","5","4","4","5","5","5","5","4","4","5","4","5","5","4","4","4","4","5","5","4","5","4","5","5","4","5","5","4","4","5","5","4","4","5","4","4","4","5","4","5","5","5","4","5","5","5","4","4","3","4","4","5","5","4","4","4","5","5","4","4","4","4","4","5","5","5","5","5","4","5","4","5","4","4","5","5","4","4","4","5","4","5","4","4","4","4","5","4","4","4","5","5","5","4","5","5","5","4","4","5","4","4","4","4","5","5","4","4","4","2",NA,NA,"33","Female","White","Prolific"
"Disclosed",26,"9,13,15,19,24","9","13","15","19","24","5","4","5","5","5","5","5","4","5","5","5","4","5","5","5","5","5","5","4","5","5","5","5","4","5","5","5","4","5","4","5","4","5","5","5","5","5","5","5","5","5","4","4","5","5","5","5","5","5","5","5","5","5","4","5","5","5","5","5","4","5","4","5","5","5","5","5","5","5","5","5","4","4","5","5","5","5","5","5","5","5","5","5","4","5","5","5","5","5","4","2","5","2","4","5","4","4","2","2","2","5","4","4","5","2","4","4","4","1","4","1","0","6","33","Male","Black","Prolific"
"Not Disclosed",27,"12,14,16,19,20","12","14","16","19","20","2","4","2","5","4","4","4","5","4","4","5","2","4","4","4","2","2","4","4","4","5","5","5","1","5","5","5","2","5","4","5","4","4","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","2","5","5","5","5","2","5","5","5","5","5","5","5","5","1","4","5","4","2","4","2","5","5","4","5","5","1","5","5","5","1","5","5","5","5","2","5","5","2","5","1","4","2","5","5","5","5","1","5","5","5","4","2","1","15","6","41","Male","White","Prolific"
"Not Disclosed",28,"4,7,11,13,19","4","7","11","13","19","5","3","5","5","5","5","5","5","5","5","5","3","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","3","3","3","3","3","3","1","5","5","5","3","2","1","3","3","4","1","3","1","5","1","0","5","25","Female","White","Prolific"
"Not Disclosed",29,"6,13,15,21,30","6","13","15","21","30","3","4","3","5","4","4","4","4","4","4","5","2","3","3","4","3","5","2","4","4","4","2","3","5","4","5","5","4","3","3","4","5","4","5","5","5","5","5","5","5","5","3","5","4","4","4","5","3","5","4","5","4","4","5","5","5","5","4","4","4","4","5","4","5","4","4","4","4","5","4","4","3","3","4","4","4","5","3","4","4","4","3","4","5","5","5","5","5","4","4","2","3","4","2","3","3","2","4","4","4","3","3","3","4","5","3","3","3","4","4","2",NA,NA,"58","Male","White","Prolific"
"Not Disclosed",30,"20,35,27,28,32","20","35","27","28","32","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","5","5","1","5","5","1","5","1","1","1","5","5","5","5","1","5","5","5","1","1","1","30","6"," ","Male"," ","Prolific"
"Not Disclosed",31,"7,11,13,16,19","7","11","13","16","19","4","3","3","3","4","4","4","4","4","3","4","4","4","4","4","2","4","2","4","3","4","2","2","3","4","2","3","4","2","3","4","3","3","4","4","4","4","4","4","4","4","4","4","4","4","3","3","2","4","2","4","2","3","3","4","2","3","4","2","2","5","3","3","4","5","4","4","5","4","3","4","4","3","4","5","2","4","2","5","3","4","2","3","2","4","2","5","4","2","2","3","3","3","4","4","2","4","3","4","3","4","4","3","5","3","4","3","4","3","3","1","30","6","51","Male","White","Prolific"
"Not Disclosed",32,"5,16,19,24,28","5","16","19","24","28","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","4","5","1","5","5","2","5","1","1","1","5","5","3","5","1","4","5","5","1","1","1","30","6","43","Male","White","Prolific"
"Not Disclosed",33,"6,9,13,31,23","6","9","13","31","23","3","4","2","4","5","5","5","5","5","2","2","4","5","5","5","4","3","2","5","2","2","2","4","4","4","4","5","2","5","5","4","4","3","4","4","4","5","4","5","2","2","2","3","4","4","4","2","1","4","2","3","5","2","4","4","1","4","2","3","2","1","5","3","5","2","4","3","4","5","2","4","2","5","4","5","3","2","1","5","3","2","2","2","3","2","1","4","2","5","3","3","4","3","3","5","4","4","2","4","3","4","4","2","5","2","4","4","4","3","3","2",NA,NA,"30","Male","Black","Prolific"
"Disclosed",34,"6,13,18,30,31","6","13","18","30","31","2","5","4","5","4","4","4","3","5","4","5","1","2","4","2","2","5","5","4","4","4","4","4","5","4","5","5","4","5","2","4","5","5","5","5","5","5","4","5","2","4","2","5","4","2","2","5","4","5","5","4","5","5","5","5","5","5","4","5","5","5","5","5","5","5","5","5","4","5","4","5","2","4","4","5","2","5","2","5","4","5","5","5","5","5","5","5","5","5","5","2","2","5","1","2","5","1","5","5","4","2","2","4","4","5","4","4","2","5","5","2",NA,NA,"59","Male","White","Prolific"
"Not Disclosed",35,"7,9,11,13,24","7","9","11","13","24","5","5","4","5","5","5","5","5","5","5","5","3","5","5","4","4","5","3","5","5","5","5","5","5","5","5","5","4","5","5","4","2","2","5","4","4","5","5","5","4","5","2","2","4","4","3","4","1","5","4","4","4","5","2","5","3","4","3","5","3","5","5","3","5","5","5","5","5","5","5","5","3","5","5","5","5","5","3","5","5","5","5","5","5","5","5","5","5","5","5","3","4","4","3","5","4","4","2","2","3","4","4","3","4","3","4","4","3","2","3","2",NA,NA,"31","Female","White","Prolific"
"Disclosed",36,"19,20,26,27,31","19","20","26","27","31","5","4","2","5","5","5","5","4","5","5","5","1","2","4","4","4","5","3","4","5","5","5","4","1","4","5","5","5","5","5","4","5","5","5","4","5","5","5","5","5","5","5","4","5","5","4","5","4","5","4","5","5","4","3","5","5","5","5","5","3","5","4","4","4","5","5","5","5","5","5","5","4","2","4","5","4","5","5","5","5","5","5","5","4","5","5","5","5","5","5","4","4","2","4","4","1","4","3","4","4","3","4","5","3","4","4","4","3","2","3","2",NA,NA,"35","Female","Black","Prolific"
"Not Disclosed",37,"7,9,15,18,30","7","9","15","18","30","5","5","5","5","5","5","5","5","5","1","5","4","3","5","5","1","1","3","5","5","5","1","5","5","5","5","5","5","1","1","5","5","5","5","5","5","5","5","5","3","5","2","4","5","5","5","4","1","5","5","5","2","5","5","5","5","5","5","1","5","5","3","3","5","5","5","5","5","5","4","5","4","5","5","5","3","3","4","5","5","5","3","5","5","5","5","5","3","4","5","5","5","3","5","5","3","5","2","4","4","5","5","4","5","1","5","5","5","1","3","2",NA,NA,"64","Male","White","Prolific"
"Disclosed",38,"7,35,25,29,31","7","35","25","29","31","2","2","2","4","4","4","5","4","4","1","4","1","2","2","5","2","2","2","5","2","4","2","2","2","5","5","5","2","1","2","4","2","2","5","5","5","5","5","4","4","5","2","4","4","5","2","2","2","5","4","2","2","4","4","5","5","4","2","1","2","5","4","4","5","5","5","5","5","5","5","5","2","5","5","5","2","3","2","5","5","4","4","5","4","5","5","5","4","5","5","2","2","2","3","1","5","1","3","4","4","4","1","2","4","4","2","2","2","4","2","2",NA,NA,"57","Male","White","Prolific"
"Disclosed",39,"6,13,19,35,25","6","13","19","35","25","5","2","5","5","5","5","5","4","5","2","5","1","2","2","5","1","2","1","5","4","5","1","3","5","5","4","5","1","1","2","4","4","5","4","5","5","5","5","5","3","5","1","4","5","4","4","2","1","5","5","5","1","1","5","4","4","4","2","1","2","5","5","5","5","5","5","5","5","5","5","5","2","4","4","5","1","2","1","5","5","5","1","3","4","5","5","5","2","4","4","2","4","3","1","5","4","4","1","1","1","4","4","2","5","1","3","4","3","3","4","2",NA,NA,"57","Female","White","Prolific"
"Not Disclosed",40,"9,11,19,30,31","9","11","19","30","31","4","2","2","5","5","5","5","4","4","2","5","2","2","2","4","3","4","2","5","4","4","2","4","2","4","5","5","2","3","1","5","4","3","5","5","5","5","5","5","4","5","2","2","5","4","5","5","1","5","4","4","4","5","4","5","5","5","2","4","3","5","4","4","5","5","5","5","4","5","5","5","2","2","4","4","2","4","2","5","5","5","4","5","5","5","5","5","4","3","4","1","4","3","3","4","4","2","2","3","4","4","4","4","4","5","3","4","2","4","3","2",NA,NA,"49","Female","White","Prolific"
"Disclosed",41,"4,9,18,21,31","4","9","18","21","31","5","5","5","5","5","5","5","4","5","5","5","5","5","5","4","4","5","4","5","5","5","5","4","4","4","4","5","5","4","4","5","5","4","5","4","5","5","5","5","5","5","4","5","5","4","4","4","4","5","4","5","5","5","5","4","4","5","4","5","4","5","4","4","5","5","5","5","5","5","5","5","4","5","4","5","4","5","5","5","4","5","5","4","4","4","4","5","4","5","4","5","5","4","5","4","5","5","4","4","4","5","5","4","4","5","4","5","4","5","4","2",NA,NA,"25","Female","White","Prolific"
"Disclosed",42,"9,13,24,29,23","9","13","24","29","23","4","4","4","4","4","4","4","4","5","4","4","4","4","4","4","4","4","4","5","4","4","4","4","4","5","4","4","4","4","4","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","4","5","4","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","4","4","5","5","5","5","5","4","5","5","5","5","5","5","4","4","3","4","4","2","4","2","2","2","4","4","4","4","2","3","4","4","2","4","1","1","2","40","Male","White","Prolific"
"Not Disclosed",43,"9,13,22,35,24","9","13","22","35","24","5","4","2","5","5","5","5","5","5","3","5","1","3","4","4","2","4","4","5","4","4","2","4","2","5","5","5","2","4","1","4","4","4","5","4","5","5","4","5","3","5","2","4","4","5","2","4","2","5","5","5","2","4","4","5","4","5","2","4","2","5","3","2","5","5","5","5","4","5","3","5","1","4","4","4","2","4","4","5","4","5","2","4","4","5","4","5","2","4","2","2","4","3","3","4","4","2","2","4","2","4","4","3","4","4","4","2","2","3","4","1","0","1","55","Female","White","Prolific"
