"Experimental_Group","Participant","Top5_Messages","Message1","Message2","Message3","Message4","Message5","Dis_AI1","Dis_AI2","Dis_AI3","Dis_AI4","Dis_AI5","Dis_AI6","Dis_AI7","Dis_AI8","Dis_AI9","Dis_AI10","Dis_AI11","Dis_AI12","Dis_AI13","Dis_AI14","Dis_AI15","Dis_Hum1","Dis_Hum2","Dis_Hum3","Dis_Hum4","Dis_Hum5","Dis_Hum6","Dis_Hum7","Dis_Hum8","Dis_Hum9","Dis_Hum10","Dis_Hum11","Dis_Hum12","Dis_Hum13","Dis_Hum14","Dis_Hum15","Con_AI1","Con_AI2","Con_AI3","Con_AI4","Con_AI5","Con_AI6","Con_AI7","Con_AI8","Con_AI9","Con_AI10","Con_AI11","Con_AI12","Con_AI13","Con_AI14","Con_AI15","Con_Hum1","Con_Hum2","Con_Hum3","Con_Hum4","Con_Hum5","Con_Hum6","Con_Hum7","Con_Hum8","Con_Hum9","Con_Hum10","Con_Hum11","Con_Hum12","Con_Hum13","Con_Hum14","Con_Hum15","Unp_AI1","Unp_AI2","Unp_AI3","Unp_AI4","Unp_AI5","Unp_AI6","Unp_AI7","Unp_AI8","Unp_AI9","Unp_AI10","Unp_AI11","Unp_AI12","Unp_AI13","Unp_AI14","Unp_AI15","Unp_Hum1","Unp_Hum2","Unp_Hum3","Unp_Hum4","Unp_Hum5","Unp_Hum6","Unp_Hum7","Unp_Hum8","Unp_Hum9","Unp_Hum10","Unp_Hum11","Unp_Hum12","Unp_Hum13","Unp_Hum14","Unp_Hum15","Per_AI1","Per_AI2","Per_AI3","Per_AI4","Per_AI5","Per_AI6","Per_AI7","Per_AI8","Per_AI9","Per_AI10","Per_AI11","Per_AI12","Per_AI13","Per_AI14","Per_AI15","Per_AI16","Per_AI17","Per_AI18","Per_AI19","Per_AI20","Vape_Exp1","Vape_Exp3","Vape_Exp2","Age","Sex","Ethnicity","Source"
"Not Disclosed",44,"4,11,25,29,23","4","11","25","29","23","3","3","5","5","5","4","5","5","5","5","3","3","4","3","5","5","4","2","4","4","5","2","3","5","4","2","5","3","4","3","4","5","5","5","5","5","5","4","5","3","5","4","5","5","4","4","3","3","5","4","4","3","3","4","5","2","5","3","5","4","4","5","4","5","4","4","4","4","4","5","5","4","5","4","5","3","5","2","4","4","4","2","4","4","5","3","5","3","5","4","1","3","3","1","2","4","1","4","4","4","2","1","1","2","4","2","2","1","3","3","2",NA,NA,"69","Female","White","Prolific"
"Disclosed",45,"9,11,14,17,29","9","11","14","17","29","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","4","5","5","5","5","5","5","5","5","5","5","5","5","4","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","4","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","4","5","5","5","4","4","5","5","5","5","5","5","5","5","5","5","4","5","5","2","4","2","3","5","3","4","3","4","4","5","5","4","4","3","4","4","3","2","3","2",NA,NA,"24","Female","White","Prolific"
"Disclosed",46,"11,35,29,30,23","11","35","29","30","23","5","5","3","5","5","5","5","5","5","5","5","2","4","5","5","2","4","4","5","4","4","5","5","3","5","5","5","2","5","2","5","3","3","5","5","5","5","5","5","4","4","3","3","3","4","3","4","2","5","4","5","5","5","4","5","4","5","4","5","2","5","2","4","5","5","5","5","5","5","5","5","2","2","5","5","3","4","4","5","4","5","5","5","3","5","5","5","2","5","4","4","3","2","4","4","2","4","1","1","1","5","4","2","5","1","4","3","2","3","2","1","0","4","38","Female","White","Prolific"
"Disclosed",47,"6,9,24,31,23","6","9","24","31","23","2","5","4","5","2","5","4","2","5","2","5","1","1","1","2","2","5","4","3","1","4","3","3","4","4","4","5","1","5","4","2","2","2","5","5","2","5","2","5","4","5","2","3","2","4","4","4","2","5","4","4","3","4","4","4","4","5","2","5","4","2","1","2","5","2","2","5","2","4","1","5","1","1","2","2","2","2","1","4","4","4","3","2","2","2","4","5","1","5","2","1","2","3","3","3","2","2","5","1","5","4","1","1","4","5","4","2","1","1","4","1","0","2","64","Female","White","Prolific"
"Disclosed",48,"1,6,15,35,25","1","6","15","35","25","4","5","5","5","5","5","5","5","5","5","5","3","4","3","5","3","4","3","5","5","5","3","5","4","5","4","5","5","3","5","4","4","5","5","5","5","5","5","5","5","5","2","5","4","4","4","4","2","5","5","5","4","4","3","5","4","5","2","4","4","5","5","5","5","5","5","5","5","5","5","5","2","5","5","5","5","5","4","5","5","5","4","5","5","4","4","5","5","5","5","2","2","4","3","5","4","4","3","4","4","4","4","2","4","3","4","3","2","4","4","2",NA,NA,"43","Female","White","Prolific"
"Not Disclosed",49,"15,17,35,29,30","15","17","35","29","30","5","5","5","5","5","5","5","5","5","5","5","4","5","5","5","5","5","5","5","5","2","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","4","5","5","5","5","5","4","5","5","5","3","4","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","3","5","5","5","5","5","5","4","5","1","4","4","2","4","4","2","3","1","2","2","4","1","4","5","2","2","1","2","2","2",NA,NA,"31","Male","Black","Prolific"
"Not Disclosed",50,"6,9,13,15,31","6","9","13","15","31","5","5","4","5","5","5","5","5","5","5","5","4","5","5","5","4","4","1","5","5","5","1","5","4","5","5","5","1","5","1","5","4","4","5","5","5","5","5","5","5","5","5","2","5","4","5","4","1","5","5","5","1","5","5","5","5","5","2","5","1","5","5","5","5","5","5","5","5","5","5","5","4","5","5","5","5","4","2","5","5","5","1","5","5","5","5","5","2","5","1","3","4","5","4","5","5","4","3","2","4","5","4","2","5","2","2","3","3","1","5","1","0","4","38","Male","White","Prolific"
"Not Disclosed",51,"4,11,15,16,35","4","11","15","16","35","3","4","1","4","5","5","4","4","4","4","4","2","2","2","4","1","2","2","4","1","3","1","1","4","4","4","4","1","3","1","4","5","2","5","2","5","5","4","5","4","4","2","4","3","3","4","3","1","4","4","4","4","4","4","4","5","4","5","2","3","2","4","1","4","4","4","4","3","4","4","4","1","3","2","2","1","1","1","4","2","2","1","4","1","5","4","4","2","4","1","3","4","1","3","4","4","4","1","1","1","3","4","4","5","1","2","4","3","2","3","1","0","6","42","Female","White","Prolific"
"Disclosed",52,"6,9,18,19,35","6","9","18","19","35","3","4","3","5","4","4","4","3","4","3","4","3","4","4","4","3","2","3","4","2","4","2","3","2","4","4","5","2","3","1","2","2","2","4","3","4","4","3","4","3","4","2","2","2","2","2","3","2","4","2","4","2","2","2","4","4","4","1","2","1","4","4","4","5","4","4","5","4","4","4","4","2","4","4","4","4","3","3","5","3","4","4","3","4","5","5","5","4","4","3","1","3","4","3","3","4","1","3","4","4","4","2","1","4","4","3","2","1","4","5","1","0","2","35","Female","White","Prolific"
"Disclosed",53,"1,5,19,25,29","1","5","19","25","29","3","2","3","3","2","3","3","4","3","3","3","2","3","3","4","4","4","4","3","4","3","2","4","3","2","4","3","2","3","2","4","3","2","3","3","3","3","2","3","2","2","4","2","2","4","3","3","4","3","3","3","3","3","3","4","4","3","3","3","3","3","2","3","3","3","2","2","3","2","3","3","2","2","3","4","3","3","4","3","3","3","4","3","3","3","3","2","2","2","3","3","2","3","4","3","4","3","3","3","3","2","3","3","3","3","4","3","3","4","4","2",NA,NA,"32","Male","White","Prolific"
"Disclosed",54,"6,7,11,13,29","6","7","11","13","29","4","4","3","4","4","4","4","4","4","4","4","2","3","3","4","4","4","3","4","3","4","4","4","4","4","4","3","4","4","4","4","3","3","3","3","4","4","4","4","4","4","2","3","3","3","3","4","4","4","3","4","4","4","4","4","3","3","3","4","3","4","4","4","4","4","4","4","4","4","4","4","3","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","3","3","3","4","4","3","3","2","3","3","3","4","3","4","2","3","3","3","4","3","1","7","4","23","Female","White","Prolific"
"Disclosed",55,"22,24,25,26,31","22","24","25","26","31","5","5","4","4","5","5","3","4","3","5","5","5","5","4","5","2","5","5","5","5","3","3","4","4","5","3","4","4","5","3","3","5","4","3","4","3","4","3","4","4","4","4","4","4","3","3","3","4","4","4","4","4","5","4","5","4","3","4","3","4","3","5","5","4","4","4","4","5","5","4","4","4","4","4","4","4","4","5","5","5","5","4","5","5","4","4","4","5","4","5","2","3","3","3","4","4","3","3","2","3","4","4","1","5","3","2","4","3","4","4","1","30","6","38","Female"," ","Prolific"
"Not Disclosed",56,"9,19,22,28,29","9","19","22","28","29","4","4","4","3","4","5","5","5","5","3","4","2","4","3","3","2","4","5","4","5","4","5","4","5","5","4","4","3","5","5","5","2","5","4","4","5","5","4","5","3","3","2","3","2","4","3","2","1","5","5","4","5","5","5","5","4","4","4","5","4","4","5","4","4","5","5","5","5","5","2","5","2","4","4","4","1","4","3","5","5","5","4","4","5","5","5","4","4","5","3","4","3","3","3","5","2","1","5","3","3","4","2","2","4","5","3","3","1","1","4","2",NA,NA,"33","Female","White","Prolific"
"Not Disclosed",57,"6,11,15,35,24","6","11","15","35","24","5","5","5","5","5","5","5","5","5","5","5","4","5","5","5","5","5","3","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","3","5","3","3","5","5","4","5","3","5","5","5","5","4","5","4","4","5","4","5","4","5","5","5","5","5","5","5","5","5","5","5","4","5","4","5","5","5","3","5","5","5","5","5","5","5","5","5","5","5","5","3","4","1","5","5","1","5","1","2","1","5","5","3","5","1","3","5","3","1","1","2",NA,NA,"30","Male","White","Prolific"
"Disclosed",58,"4,6,9,11,35","4","6","9","11","35","4","4","5","5","4","5","5","4","5","5","5","3","4","4","5","2","1","2","5","3","4","2","4","4","4","3","5","2","1","1","4","3","4","5","5","4","5","4","3","4","5","2","3","5","5","3","3","2","5","5","4","2","5","4","4","3","5","3","2","1","4","3","5","5","5","4","5","4","4","4","5","3","3","3","4","3","2","2","5","4","4","2","4","4","4","4","5","2","2","2","1","1","3","1","5","2","1","3","2","4","2","3","1","3","2","3","3","1","1","4","1","0","4","34","Male","White","Prolific"
"Not Disclosed",59,"5,7,11,12,19","5","7","11","12","19","5","4","4","4","4","4","4","4","5","4","3","3","4","4","5","5","4","1","5","4","2","5","3","3","4","5","4","5","3","4","5","5","5","5","4","4","3","4","4","3","4","4","4","5","4","5","4","1","5","4","4","5","4","4","4","4","4","3","3","4","5","4","5","5","4","5","4","5","4","3","5","3","5","4","5","4","3","2","3","5","5","4","4","3","3","5","5","3","4","4","3","4","4","4","5","2","3","1","4","3","5","3","4","4","4","2","1","4","3","5","2",NA,NA,"32","Female","White","Prolific"
"Disclosed",60,"13,18,21,22,25","13","18","21","22","25","2","3","3","2","2","2","2","2","2","2","3","1","4","2","3","3","4","1","2","2","2","1","2","2","3","3","2","4","2","2","4","2","4","2","2","3","2","2","3","2","2","4","3","2","2","3","2","1","4","3","2","1","4","2","3","3","3","3","2","1","3","2","1","2","2","2","2","3","3","3","3","3","2","2","2","4","1","2","2","4","2","1","3","2","3","4","3","4","1","1","3","3","1","2","4","2","4","1","1","1","4","4","2","4","1","4","4","4","1","1","1","30","6","49","Female","White","Prolific"
"Not Disclosed",61,"11,17,35,24,31","11","17","35","24","31","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","4","5","4","5","5","5","4","5","4","5","5","5","5","5","4","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","3","4","5","5","5","5","3","5","5","5","5","5","5","5","5","5","5","5","5","1","3","3","3","2","3","1","3","3","4","4","3","2","4","4","3","1","2","4","1","2",NA,NA,"42","Female","Black","Prolific"
"Disclosed",62,"6,9,11,14,24","6","9","11","14","24","4","4","3","2","4","3","3","2","3","3","4","3","4","4","4","4","4","2","2","4","4","4","2","2","3","3","4","3","4","4","3","4","4","5","5","4","4","4","5","4","4","3","4","5","4","3","4","4","4","5","4","3","3","4","4","3","5","3","4","5","3","2","5","4","3","5","3","4","4","2","4","3","4","3","4","3","4","2","5","3","3","4","4","2","4","4","3","4","4","2","4","3","5","5","3","5","4","1","3","2","4","3","4","5","1","5","3","4","4","2","1","25","6","23","Male","Mixed","Prolific"
"Disclosed",63,"6,13,28,30,31","6","13","28","30","31","2","2","4","4","4","4","4","3","5","2","4","2","2","4","4","5","2","1","4","4","5","4","2","5","5","5","5","2","5","2","2","2","4","4","4","5","4","5","5","3","4","4","2","4","4","5","2","2","4","4","5","5","4","5","4","5","5","2","5","2","4","4","4","5","4","5","4","2","5","3","4","3","2","4","4","5","4","3","4","4","4","5","4","5","4","5","5","1","5","2","4","4","4","4","4","3","4","1","3","2","4","5","2","4","1","4","3","4","2","1","1","10","6","22","Female","White","Prolific"
"Not Disclosed",64,"6,7,9,21,36","6","7","9","21","36","4","4","4","4","3","4","4","4","5","5","3","4","4","4","5","4","3","3","4","5","3","3","4","4","5","4","3","4","5","4","4","3","3","4","3","4","4","4","3","4","2","4","3","4","4","4","3","4","4","4","4","2","4","3","4","4","4","3","5","3","4","4","3","3","4","3","4","4","4","4","4","5","5","4","4","4","3","4","4","5","5","4","3","3","4","4","3","4","4","4","4","5","5","5","3","4","4","1","3","4","4","4","5","4","1","4","3","4","4","1","1","29","6","22","Female","Asian","Prolific"
"Disclosed",65,"11,13,26,28,23","11","13","26","28","23","5","3","3","5","5","4","5","4","5","5","5","1","2","3","3","4","4","3","5","4","5","5","4","5","5","3","4","4","5","3","5","2","2","5","5","5","5","4","5","4","5","2","2","3","3","3","2","2","5","4","4","5","4","4","5","4","4","3","5","3","4","2","4","5","5","4","5","5","5","4","4","2","3","4","2","2","4","4","5","4","3","5","3","4","5","4","5","2","5","3","1","2","3","1","4","5","1","3","2","4","2","2","1","2","5","1","1","1","5","2","2",NA,NA,"23","Female","White","Prolific"
"Disclosed",66,"13,28,29,31,23","13","28","29","31","23","5","4","3","5","5","5","5","5","5","5","5","3","3","4","4","4","5","3","5","4","5","3","4","5","5","5","4","3","5","5","5","4","3","5","4","5","5","5","5","4","5","3","3","4","4","4","4","4","5","5","4","4","5","5","5","5","5","4","5","4","5","3","3","5","5","5","5","4","5","4","5","3","3","4","4","4","5","2","5","4","5","5","4","5","5","5","5","3","5","4","1","2","2","2","4","5","3","2","1","4","4","3","1","4","2","4","1","1","3","2","1","0","2","24","Female","White","Prolific"
"Disclosed",67,"6,17,24,28,23","6","17","24","28","23","3","4","3","1","4","3","2","2","1","2","2","2","4","4","3","4","1","3","4","3","4","4","2","4","1","1","1","2","2","4","4","2","4","5","5","4","3","4","2","4","4","5","3","4","3","2","1","2","2","2","4","1","2","4","3","2","2","4","3","2","4","4","4","5","4","3","2","4","1","4","2","4","3","4","3","2","1","2","4","2","3","1","2","4","3","2","2","4","5","3","4","3","4","3","4","4","4","3","4","4","4","3","3","3","3","2","4","3","3","3","1","0","6","26","Female","White","Prolific"
"Disclosed",68,"13,22,24,25,29","13","22","24","25","29","5","5","4","5","5","5","5","5","5","4","5","4","4","4","5","4","4","4","5","5","5","4","5","5","5","5","5","4","4","5","5","5","5","5","5","5","5","5","5","5","5","4","4","4","5","4","4","4","5","5","5","4","5","4","5","4","5","4","5","4","5","5","5","5","5","5","5","5","5","5","5","4","5","5","5","5","5","4","5","5","5","4","5","5","5","5","5","5","5","5","2","3","4","3","4","3","3","3","2","4","4","3","2","4","2","3","3","2","2","4","2",NA,NA,"49","Female","White","Prolific"
"Disclosed",69,"20,22,25,31,23","20","22","25","31","23","5","3","3","5","5","4","5","4","5","5","5","1","4","4","4","4","3","5","5","5","5","3","4","3","5","5","5","4","5","3","5","1","1","5","5","5","5","5","5","5","5","1","5","5","5","5","5","1","5","5","5","5","5","1","5","4","5","1","5","5","5","3","3","5","5","5","5","5","5","5","5","3","4","5","5","5","3","5","5","5","5","5","5","3","5","5","5","3","5","5","4","4","3","4","5","3","3","3","4","3","4","4","3","4","4","3","3","3","3","3","1","0","4","25","Female","White","Prolific"
"Disclosed",70,"4,6,13,15,25","4","6","13","15","25","4","3","4","4","4","5","4","4","5","4","4","3","4","3","4","3","4","3","4","3","4","4","4","3","4","4","5","3","5","4","4","4","3","5","5","5","5","4","4","4","5","2","4","4","4","3","4","2","4","4","4","3","4","3","5","4","4","3","5","4","4","4","3","5","4","4","5","4","5","4","4","2","4","4","4","3","4","4","5","3","4","5","5","4","5","4","5","3","5","4","4","4","3","4","5","3","4","2","2","2","4","5","3","4","2","4","4","4","3","2","1","0","6","37","Female","Asian","Prolific"
"Disclosed",71,"6,9,22,35,25","6","9","22","35","25","4","5","5","5","4","4","5","5","5","5","4","5","4","5","4","5","5","4","5","5","4","4","5","5","5","5","4","4","4","4","4","4","4","5","5","4","4","4","4","5","5","4","4","5","4","4","4","4","4","4","5","5","4","5","5","5","4","5","5","4","4","5","5","4","4","4","5","4","5","4","4","5","5","5","5","5","5","5","5","5","5","5","5","4","4","4","5","5","5","4","4","4","2","5","5","2","5","3","3","5","4","5","4","5","2","4","5","4","2","3","2",NA,NA,"25","Male","Black","Prolific"
"Not Disclosed",72,"4,5,6,16,25","4","5","6","16","25","3","2","4","5","5","5","5","3","2","4","4","5","5","2","5","2","1","2","5","5","3","1","5","5","5","4","5","2","5","1","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","2","3","5","5","5","3","3","5","2","5","5","5","3","1","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","2","5","4","5","5","2","4","1","2","1","5","5","4","5","1","4","4","5","2","2","2",NA,NA,"32","Male","White","Prolific"
"Not Disclosed",73,"6,7,21,30,31","6","7","21","30","31","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","2","5","3","3","5","1","3","5","5","3","3","3","3","3","3","3","3","3","5","2",NA,NA,"38","Male","White","Prolific"
"Disclosed",74,"6,9,35,29,31","6","9","35","29","31","4","1","1","5","4","4","5","5","5","4","5","1","1","4","1","1","4","1","5","1","2","3","2","1","5","3","5","4","4","2","5","1","1","5","4","3","5","4","5","2","5","1","1","1","1","1","2","1","5","1","3","1","4","1","5","4","4","1","4","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","2","1","2","1","3","4","5","3","4","5","3","4","2","3","4","4","3","4","4","3","3","3","4","4","1","30","6","37","Female","White","Prolific"
"Disclosed",75,"11,15,20,30,31","11","15","20","30","31","3","5","4","5","4","4","5","5","5","4","5","2","4","2","5","5","3","3","5","5","5","5","5","5","5","5","5","2","5","2","5","5","5","5","5","5","5","5","5","5","5","2","4","2","5","5","4","3","5","5","5","4","5","5","5","5","5","4","5","3","3","5","5","5","5","5","5","5","5","5","5","2","5","3","5","5","4","4","5","5","5","5","5","5","5","5","5","3","5","5","4","5","2","3","5","3","4","1","1","1","5","4","1","5","1","3","5","4","1","1","1","1","2","38","Female","White","Prolific"
"Not Disclosed",76,"7,13,15,35,31","7","13","15","35","31","5","5","4","5","5","5","5","5","5","5","5","3","4","5","5","5","5","3","5","5","5","5","5","5","5","5","5","5","5","5","5","4","4","5","5","5","5","5","5","5","5","3","3","5","5","5","5","3","5","5","5","5","5","5","5","5","5","5","5","3","5","5","5","5","5","5","5","5","5","5","5","3","5","5","5","5","5","3","5","5","5","5","5","4","5","5","5","5","5","4","3","3","3","3","5","3","3","3","1","3","3","3","4","3","1","3","4","3","3","3","1","0","2","26","Male","White","Prolific"
"Not Disclosed",77,"1,12,16,18,25","1","12","16","18","25","4","3","2","4","3","4","4","4","2","4","4","4","3","3","4","3","3","1","4","3","3","1","3","1","4","4","1","2","1","1","3","4","1","3","2","2","3","4","2","4","3","4","4","3","4","3","2","1","4","3","3","2","3","2","4","2","1","3","1","2","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","5","4","2","3","4","2","3","1","1","2","4","3","3","4","1","3","3","3","2","2","1","30","6","47","Male","Other","Prolific"
"Not Disclosed",78,"6,9,11,13,28","6","9","11","13","28","4","1","2","5","4","5","5","4","5","5","5","2","2","4","5","2","4","2","5","4","4","4","4","5","5","2","4","2","4","2","4","1","1","5","5","5","5","5","5","5","5","1","2","5","2","2","2","1","5","4","4","4","2","2","5","1","4","1","5","2","4","1","1","5","5","5","5","5","5","5","5","2","2","4","5","2","4","2","5","4","5","4","4","5","5","2","5","2","4","2","4","2","5","4","5","4","4","2","2","5","4","4","2","4","5","2","1","1","5","4","1","0","1","33","Male","Other","Prolific"
"Not Disclosed",79,"6,7,9,11,31","6","7","9","11","31","5","5","3","5","5","5","5","5","5","5","5","2","4","4","5","3","4","3","5","5","5","5","5","3","5","5","5","3","5","3","5","4","2","5","5","5","5","5","5","5","5","2","3","5","4","2","5","2","5","4","5","5","5","4","5","5","5","2","5","2","5","4","4","5","5","5","5","4","5","5","5","2","4","4","5","3","5","4","4","4","5","5","5","5","5","5","5","2","4","4","4","5","3","2","5","2","5","1","2","4","5","5","4","5","1","5","5","5","2","4","1","0","2","48","Male","White","Prolific"
"Not Disclosed",80,"13,35,28,29,30","13","35","28","29","30","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","4","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","2","5","5","5","5","5","3","5","5","5","5","5","4","5","5","5","5","5","5","2","3","4","2","4","3","4","4","4","4","3","3","3","4","4","2","3","2","3","4","2",NA,NA,"64","Male","White","Prolific"
"Not Disclosed",81,"4,11,12,13,22","4","11","12","13","22","5","4","5","5","5","5","4","5","4","5","5","4","5","5","4","5","3","5","4","5","5","4","4","4","4","5","4","3","4","4","4","5","5","5","5","4","5","4","5","5","4","4","5","5","4","5","4","5","5","5","5","4","4","4","4","4","5","3","3","4","4","4","5","5","5","4","4","4","4","5","5","5","5","4","3","5","3","5","4","5","5","4","5","5","4","4","4","4","4","4","2","3","4","2","2","4","3","2","3","4","3","3","2","4","2","3","3","3","2","3","1","0","4","19","Male","White","Prolific"
"Not Disclosed",82,"16,18,24,29,32","16","18","24","29","32","4","2","2","1","2","2","1","2","2","2","2","2","1","2","1","1","2","1","1","2","1","1","2","2","2","1","2","2","1","1","1","2","2","1","2","1","1","2","1","1","1","2","2","2","2","1","1","1","2","2","1","1","1","2","2","1","1","2","1","2","4","1","4","2","2","4","2","2","2","2","2","2","1","2","2","2","2","3","1","4","1","1","3","4","4","1","2","5","2","1","4","4","4","5","5","2","4","2","4","2","4","5","4","4","2","4","5","4","2","4","1","10","6","35","Male","Asian","Prolific"
"Disclosed",83,"22,28,29,31,23","22","28","29","31","23","2","5","2","4","5","4","4","3","5","4","4","1","2","2","4","4","4","5","5","3","3","5","5","5","5","5","5","4","5","3","4","4","2","5","5","5","5","4","5","5","5","2","2","4","3","5","5","2","5","4","5","5","5","4","5","5","5","2","5","3","2","4","2","5","5","5","5","2","5","5","5","4","3","3","5","5","5","5","5","4","4","4","5","4","5","5","5","4","5","1","2","3","3","3","5","1","3","2","3","3","3","4","2","4","3","4","2","4","2","3","2",NA,NA,"31","Female","Black","Prolific"
"Disclosed",84,"1,7,17,19,27","1","7","17","19","27","4","4","1","5","4","4","5","4","4","2","5","1","1","4","2","2","1","1","5","3","4","2","3","3","5","5","5","1","5","1","5","2","2","5","4","4","5","5","5","4","5","2","3","4","4","2","3","2","5","4","5","3","3","5","3","4","5","1","5","2","4","5","2","5","4","4","5","4","5","4","4","2","2","4","2","1","4","1","5","2","4","4","5","5","4","4","5","2","4","3","2","4","3","4","5","4","5","2","1","4","3","4","2","5","2","3","4","1","1","3","1","30","6","51","Male","White","Prolific"
"Disclosed",85,"16,17,18,19,20","16","17","18","19","20","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","4","5","5","4","4","4","2","2","5","5","4","3","5","5","3","2","3","4","5","1","0","6","47","Male","White","Prolific"
"Disclosed",86,"4,5,6,19,28","4","5","6","19","28","4","4","4","5","5","4","5","5","4","4","4","4","4","3","4","4","4","3","5","4","4","4","4","4","5","4","5","2","5","3","5","5","5","5","4","4","4","4","5","2","4","4","4","4","4","4","2","3","4","4","4","3","4","5","3","3","4","2","4","3","5","4","4","5","4","4","5","5","4","4","4","3","4","4","5","4","3","4","5","5","4","3","4","4","4","4","5","2","5","3","5","5","5","4","5","3","5","2","2","2","4","4","4","5","2","4","4","5","1","5","1","0","1","43","Male","White","Prolific"
"Not Disclosed",87,"6,9,13,15,31","6","9","13","15","31","3","1","1","5","4","4","4","4","5","3","3","2","2","1","2","1","2","1","4","1","3","1","1","1","4","4","5","1","1","3","4","1","1","5","4","4","4","5","5","2","4","2","4","5","1","1","2","1","2","2","5","1","2","1","4","5","5","2","2","2","4","3","3","5","3","4","5","5","5","3","5","2","3","3","3","3","4","1","5","3","4","2","3","3","4","5","5","2","2","4","5","4","3","3","5","3","4","1","1","2","4","4","4","3","1","4","3","3","1","1","2",NA,NA,"41","Male","White","Prolific"
"Not Disclosed",88,"6,7,13,22,27","6","7","13","22","27","4","5","5","4","4","4","4","5","4","4","5","5","4","5","5","5","5","5","4","4","5","5","4","5","5","5","5","4","5","5","4","4","5","5","5","5","4","5","5","4","3","4","5","5","4","5","5","5","4","5","4","5","4","4","4","5","5","3","5","4","4","5","5","4","5","5","5","3","5","4","3","4","4","4","4","4","5","4","4","5","5","4","5","4","5","5","4","5","3","3","4","3","4","3","5","4","2","5","5","4","4","3","3","4","4","3","4","1","4","3","2",NA,NA,"39","Male","White","Prolific"
