"Experimental_Group","Participant","Top5_Messages","Message1","Message2","Message3","Message4","Message5","Dis_AI1","Dis_AI2","Dis_AI3","Dis_AI4","Dis_AI5","Dis_AI6","Dis_AI7","Dis_AI8","Dis_AI9","Dis_AI10","Dis_AI11","Dis_AI12","Dis_AI13","Dis_AI14","Dis_AI15","Dis_Hum1","Dis_Hum2","Dis_Hum3","Dis_Hum4","Dis_Hum5","Dis_Hum6","Dis_Hum7","Dis_Hum8","Dis_Hum9","Dis_Hum10","Dis_Hum11","Dis_Hum12","Dis_Hum13","Dis_Hum14","Dis_Hum15","Con_AI1","Con_AI2","Con_AI3","Con_AI4","Con_AI5","Con_AI6","Con_AI7","Con_AI8","Con_AI9","Con_AI10","Con_AI11","Con_AI12","Con_AI13","Con_AI14","Con_AI15","Con_Hum1","Con_Hum2","Con_Hum3","Con_Hum4","Con_Hum5","Con_Hum6","Con_Hum7","Con_Hum8","Con_Hum9","Con_Hum10","Con_Hum11","Con_Hum12","Con_Hum13","Con_Hum14","Con_Hum15","Unp_AI1","Unp_AI2","Unp_AI3","Unp_AI4","Unp_AI5","Unp_AI6","Unp_AI7","Unp_AI8","Unp_AI9","Unp_AI10","Unp_AI11","Unp_AI12","Unp_AI13","Unp_AI14","Unp_AI15","Unp_Hum1","Unp_Hum2","Unp_Hum3","Unp_Hum4","Unp_Hum5","Unp_Hum6","Unp_Hum7","Unp_Hum8","Unp_Hum9","Unp_Hum10","Unp_Hum11","Unp_Hum12","Unp_Hum13","Unp_Hum14","Unp_Hum15","Per_AI1","Per_AI2","Per_AI3","Per_AI4","Per_AI5","Per_AI6","Per_AI7","Per_AI8","Per_AI9","Per_AI10","Per_AI11","Per_AI12","Per_AI13","Per_AI14","Per_AI15","Per_AI16","Per_AI17","Per_AI18","Per_AI19","Per_AI20","Vape_Exp1","Vape_Exp3","Vape_Exp2","Age","Sex","Ethnicity","Source"
"Not Disclosed",89,"6,7,11,15,23","6","7","11","15","23","4","4","5","5","5","5","5","5","5","5","5","2","4","5","5","4","5","3","5","5","5","5","5","4","5","5","5","4","5","5","5","5","5","5","5","5","5","5","5","5","5","2","5","5","5","3","5","3","5","5","5","5","5","4","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","3","5","5","2","3","5","3","3","4","3","4","4","5","4","4","3","4","4","3","3","3","4","3","2",NA,NA,"49","Male","White","Prolific"
"Disclosed",90,"6,15,19,30,31","6","15","19","30","31","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","4","5","5","5","5","5","5","5","5","5","5","5","5","3","3","3","4","5","2","4","2","2","2","5","4","2","4","2","3","3","4","2","4","1","0","4","66","Female","White","Prolific"
"Not Disclosed",91,"1,7,13,18,24","1","7","13","18","24","1","4","4","4","2","2","4","2","2","4","4","3","2","2","2","2","1","1","4","4","4","2","2","2","2","1","2","3","2","3","3","3","4","4","4","2","1","2","1","3","2","1","3","1","4","2","1","1","2","4","2","1","1","2","1","4","2","1","1","2","4","1","2","4","2","1","4","1","2","2","2","1","2","3","4","1","2","4","4","4","2","2","2","3","1","5","4","2","2","4","2","4","1","4","5","2","4","4","3","2","5","4","2","4","1","2","4","5","5","2","1","16","5","49","Male","White","Prolific"
"Disclosed",92,"6,11,35,24,31","6","11","35","24","31","4","4","4","5","4","5","4","4","5","2","5","3","2","4","3","3","2","2","5","3","4","2","4","4","4","5","5","2","2","1","5","4","4","5","5","5","5","4","5","4","5","4","3","5","4","3","3","2","5","5","5","3","5","5","5","5","5","2","2","2","5","5","5","5","5","5","5","5","5","5","5","4","5","5","5","5","4","4","5","5","5","5","5","5","5","5","5","4","4","3","3","3","3","4","4","3","2","2","2","3","4","3","3","4","4","3","2","2","4","4","2",NA,NA,"53","Female","White","Prolific"
"Not Disclosed",93,"9,11,17,18,19","9","11","17","18","19","5","5","4","4","4","5","5","4","4","4","4","4","5","5","5","4","4","4","4","5","4","2","4","4","4","3","4","2","5","4","5","4","5","5","5","5","5","5","5","5","5","5","5","5","5","4","4","5","5","4","5","5","4","4","5","3","5","3","5","5","5","5","5","5","5","5","5","5","5","5","5","4","5","5","5","5","5","4","5","5","5","4","5","5","4","4","4","4","5","5","2","3","2","2","4","3","3","1","1","1","4","3","3","4","2","2","3","2","2","1","2",NA,NA,"50","Female","White","Prolific"
"Not Disclosed",94,"5,6,9,18,19","5","6","9","18","19","4","4","4","4","4","4","4","4","3","4","4","4","4","4","4","5","4","3","4","4","4","2","4","3","3","2","5","3","2","2","4","4","4","5","4","4","4","4","4","4","4","4","4","4","4","3","4","4","4","4","4","2","4","4","4","3","4","3","4","3","4","4","4","4","4","5","4","4","4","4","4","3","4","4","4","4","4","4","3","4","4","2","4","4","3","2","4","2","4","2","4","4","3","3","4","2","4","4","3","2","4","4","3","4","1","3","4","4","2","2","1","5","6","49","Male","White","Prolific"
"Disclosed",95,"6,9,14,29,23","6","9","14","29","23","4","5","5","5","5","5","5","5","5","5","5","2","4","4","5","5","4","4","5","4","5","4","4","5","5","5","5","3","5","2","5","4","5","5","5","5","5","5","5","5","5","2","4","4","5","4","2","3","5","5","5","4","4","5","5","5","5","3","5","2","4","5","5","5","5","5","5","5","5","5","5","4","4","5","5","5","3","5","5","5","5","4","4","5","5","4","5","4","5","2","4","3","4","3","3","3","2","1","1","1","4","3","1","4","1","1","3","1","1","4","2",NA,NA,"49","Female","White","Prolific"
"Not Disclosed",96,"6,9,13,25,29","6","9","13","25","29","4","4","2","5","5","4","3","2","5","2","4","1","4","4","4","3","4","1","4","4","4","2","4","2","4","4","5","4","4","2","3","2","2","3","4","4","4","2","5","5","4","1","5","2","2","2","5","1","4","4","2","2","5","4","5","2","4","4","2","5","3","2","2","4","4","4","4","2","5","4","5","1","4","2","3","2","4","1","4","4","5","2","4","2","5","5","4","2","4","1","4","4","3","3","4","3","4","1","2","3","4","3","1","4","2","3","2","2","2","2","2",NA,NA,"49","Female","White","Prolific"
"Disclosed",97,"4,7,22,25,23","4","7","22","25","23","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","4","5","4","5","5","2","3","4","5","5","5","5","5","5","5","4","4","4","5","5","5","5","3","5","3","4","4","5","5","4","4","4","5","5","4","4","3","4","3","5","4","4","4","5","5","5","4","5","5","5","5","4","5","4","4","5","5","5","5","5","5","3","5","5","4","5","3","5","5","5","5","5","5","5","3","4","5","3","5","4","5","2","1","2","4","5","1","4","1","1","2","4","2","3","2",NA,NA,"24","Prefer not to say","White","Prolific"
"Not Disclosed",98,"13,15,27,28,29","13","15","27","28","29","2","4","2","3","2","2","4","2","4","4","3","1","2","4","2","2","2","2","4","2","4","1","4","4","5","4","4","4","2","1","2","4","2","4","4","4","4","4","4","4","4","2","2","2","2","2","2","1","5","2","4","1","4","5","5","4","3","4","2","2","2","5","4","4","2","4","2","1","4","4","4","2","1","4","2","2","2","1","4","2","4","1","3","4","4","4","2","4","1","2","2","4","2","4","4","4","5","2","2","2","4","4","4","4","2","4","3","5","2","2","2",NA,NA,"40","Male","White","Prolific"
"Disclosed",99,"9,22,24,25,28","9","22","24","25","28","3","5","4","5","5","4","4","4","5","4","5","3","3","2","4","3","3","5","4","4","4","4","4","4","5","4","4","3","3","4","5","4","5","5","5","5","5","5","5","4","5","3","4","5","4","5","4","2","5","4","5","4","5","5","5","5","5","4","3","5","3","4","5","5","5","5","5","4","5","4","5","2","2","2","4","4","3","5","4","4","4","5","4","5","5","5","5","4","3","5","1","1","5","1","1","5","1","3","1","3","1","1","1","1","3","1","1","1","3","4","1","0","4","38","Female","White","Prolific"
"Not Disclosed",100,"5,11,25,29,30","5","11","25","29","30","4","4","3","3","3","3","3","3","3","3","3","3","4","3","3","4","3","3","4","3","3","2","4","3","3","4","3","3","4","3","4","4","4","4","3","4","3","3","3","4","4","3","4","3","4","4","4","4","3","4","4","4","4","4","4","3","4","3","4","4","3","3","4","3","4","3","4","4","4","3","4","4","5","4","4","4","3","3","4","3","3","3","4","3","3","3","3","3","3","3","4","4","4","4","4","3","3","4","3","3","4","4","4","4","3","4","4","4","3","4","1","0","5","30","Male","Black","Prolific"
"Not Disclosed",101,"1,6,7,11,14","1","6","7","11","14","4","4","3","5","5","5","4","4","4","5","5","4","4","3","5","2","4","3","5","3","5","2","3","4","4","3","3","2","4","2","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","3","4","3","4","3","4","3","3","4","4","3","3","3","3","3","4","3","3","4","4","4","4","4","4","4","4","4","4","3","4","3","3","3","4","3","4","3","3","4","3","3","4","3","3","3","1","1","4","1","2","3","1","4","2","5","1","2","1","2","5","2","1","1","5","2","2",NA,NA,"67","Male","White","Prolific"
"Disclosed",102,"6,7,9,19,25","6","7","9","19","25","5","4","5","5","5","5","5","5","5","4","5","2","5","5","5","4","4","4","5","5","5","4","4","4","5","5","5","2","4","4","5","4","4","5","5","5","5","5","5","4","5","2","4","5","5","4","5","4","5","5","5","4","4","4","5","5","5","3","4","5","5","4","4","5","4","5","5","5","5","5","5","2","4","3","4","4","5","3","5","4","5","4","4","4","5","5","5","3","4","4","3","4","2","4","4","3","4","1","2","4","4","5","4","5","2","4","5","3","2","3","2",NA,NA,"30","Male","Asian","Prolific"
"Not Disclosed",103,"11,17,18,19,25","11","17","18","19","25","5","5","5","5","4","5","5","5","5","5","1","1","4","5","4","5","5","5","4","5","1","1","2","5","5","3","4","5","4","5","5","4","5","5","5","5","5","5","5","5","5","5","5","5","5","5","4","5","5","4","5","1","5","4","5","4","4","5","4","5","5","4","5","4","4","5","5","4","5","4","5","5","5","4","5","5","5","5","4","5","4","4","3","4","4","4","5","4","4","5","4","4","1","5","5","2","5","1","1","1","4","5","5","4","1","4","5","5","1","1","1","10","6","24","Male","White","Prolific"
"Disclosed",104,"9,13,24,27,29","9","13","24","27","29","5","4","4","5","5","5","5","5","5","4","5","4","5","4","5","5","5","3","5","5","4","5","5","4","5","5","5","4","3","4","5","4","3","5","5","5","5","5","5","5","5","3","4","4","4","5","5","2","5","5","5","5","5","4","5","5","5","3","3","4","4","4","4","5","5","5","5","5","5","4","5","3","3","4","4","5","4","2","5","5","4","4","5","4","5","5","5","3","3","4","3","4","5","4","5","3","3","3","3","4","4","4","4","5","4","5","4","4","3","4","2",NA,NA,"25","Male","Mixed","Prolific"
"Disclosed",105,"4,6,12,31,32","4","6","12","31","32","4","5","5","5","5","5","4","5","5","5","5","3","3","3","5","2","1","4","4","5","5","5","3","4","5","4","5","5","2","1","5","5","5","5","4","5","5","5","4","4","4","5","5","5","5","4","3","4","4","5","5","2","4","3","5","4","5","4","3","3","5","5","5","5","5","5","5","5","5","5","5","4","5","5","5","2","1","1","5","5","5","5","4","5","5","5","5","5","3","4","1","1","4","3","4","3","2","3","4","5","2","2","1","3","4","2","1","1","4","4","1","0","1","37","Female","White","Prolific"
"Disclosed",106,"6,15,19,21,29","6","15","19","21","29","4","4","5","5","5","5","5","5","5","4","5","3","4","5","5","3","5","3","5","5","5","3","4","5","5","4","5","4","5","4","4","5","4","5","5","5","5","5","5","4","5","2","4","1","5","3","5","4","5","5","5","4","4","3","4","3","4","4","5","4","4","5","5","5","5","5","5","5","5","4","5","3","4","5","5","3","5","5","5","5","5","3","4","4","5","4","5","4","4","4","2","3","4","3","4","3","2","4","4","4","4","2","2","3","4","2","4","2","4","2","2",NA,NA,"67","Male","White","Prolific"
"Not Disclosed",107,"11,13,16,22,23","11","13","16","22","23","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","4","5","5","5","4","5","5","4","5","5","4","5","5","5","5","5","5","5","4","5","4","5","4","5","5","5","5","4","5","4","4","4","4","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","4","5","5","2","3","4","1","4","3","1","4","4","4","3","3","2","3","4","2","1","2","5","5","2",NA,NA,"52","Male","White","Prolific"
"Disclosed",108,"1,9,17,22,30","1","9","17","22","30","4","3","4","4","3","4","3","4","3","4","3","3","4","4","4","4","4","3","3","3","3","4","3","3","3","4","3","3","3","4","4","3","3","3","4","3","3","4","3","3","4","3","3","3","3","3","3","3","4","4","3","4","4","3","3","3","3","4","3","3","4","4","3","3","4","3","3","4","3","4","3","4","3","3","3","3","4","3","3","3","3","3","3","4","4","4","4","3","3","4","3","4","3","4","3","4","4","3","3","3","3","4","4","4","3","4","3","3","3","3","1","5","2","48","Male","White","Prolific"
"Disclosed",109,"9,13,22,31,23","9","13","22","31","23","5","4","5","5","5","5","5","4","5","5","5","4","5","4","5","4","5","4","5","5","5","5","5","5","5","5","5","4","5","4","5","4","5","5","5","5","5","5","5","5","5","4","5","4","4","5","4","3","5","5","5","5","5","5","5","5","4","4","5","4","5","5","4","5","5","5","5","4","5","5","5","4","5","4","5","5","5","4","5","4","5","5","4","5","5","5","5","4","5","4","2","1","4","2","1","4","2","5","5","5","2","3","2","3","5","4","2","2","4","5","1","0","5","67","Female","White","Prolific"
"Disclosed",110,"12,14,17,27,28","12","14","17","27","28","5","5","5","3","5","5","5","3","5","3","5","1","5","2","5","5","5","3","5","5","5","4","4","5","3","4","5","1","5","5","5","5","3","4","5","4","5","5","5","3","5","5","4","5","4","4","3","5","5","4","5","4","5","4","5","3","5","3","3","3","5","3","5","5","5","5","5","4","5","5","3","5","5","5","5","5","5","3","5","5","5","5","5","5","5","5","5","1","5","5","2","5","5","5","5","2","5","1","4","2","5","5","5","5","1","4","4","5","3","3","1","0","2","26","Male","Black","Prolific"
"Not Disclosed",111,"4,11,24,25,27","4","11","24","25","27","5","4","5","5","4","5","4","5","5","4","5","2","5","4","4","5","2","4","5","5","5","4","4","5","5","4","5","2","5","4","5","4","2","5","4","5","4","5","5","4","5","2","4","5","4","4","2","2","4","4","4","2","4","5","5","4","4","1","4","4","5","5","5","5","5","5","5","4","5","4","5","4","4","4","4","4","5","4","4","5","5","3","5","4","5","5","5","4","5","4","2","4","4","2","4","4","2","2","2","2","4","4","4","5","1","4","4","4","2","4","1","0","2","29","Male","White","Prolific"
"Disclosed",112,"4,5,6,7,31","4","5","6","7","31","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","5","4","5","5","4","4","4","4","4","4","4","4","4","4","4","3","4","4","4","4","4","4","5","4","5","5","4","4","4","4","4","3","3","4","3","3","3","3","4","4","4","3","3","3","3","3","4","5","4","3","4","4","3","4","4","3","4","3","4","3","2","4","3","3","5","3","4","3","5","4","4","4","3","4","3","3","3","1","3","4","1","0","1","32","Female","White","Prolific"
"Not Disclosed",113,"7,17,18,19,24","7","17","18","19","24","5","4","5","5","5","5","4","5","4","4","5","3","5","5","5","4","5","4","5","5","4","3","4","4","4","4","4","4","3","3","5","4","4","5","5","4","4","5","4","4","5","5","5","5","5","5","4","3","5","4","5","3","4","5","4","4","3","2","4","3","5","5","4","4","4","5","4","4","4","4","4","5","5","5","4","4","5","5","4","4","4","3","4","4","4","3","4","4","3","4","4","3","2","4","4","3","4","3","4","2","4","4","3","4","3","4","3","4","3","3","1","3","5","48","Male","Black","Prolific"
"Disclosed",114,"4,13,15,24,23","4","13","15","24","23","2","5","1","4","4","2","5","4","5","4","4","2","1","2","5","1","2","2","4","1","4","2","1","4","4","2","2","1","5","1","5","4","2","5","2","2","4","5","5","4","5","2","4","4","4","5","4","1","4","1","4","5","2","2","5","4","5","1","5","2","1","2","1","1","4","2","4","5","4","4","5","2","1","2","4","4","5","2","4","2","5","5","5","4","4","2","5","2","5","1","5","5","1","5","5","1","4","1","2","2","5","5","5","5","1","5","4","4","2","2","1","0","5","35","Female","White","Prolific"
"Disclosed",115,"6,9,13,24,31","6","9","13","24","31","5","5","4","4","3","4","3","4","3","4","4","4","4","4","4","4","3","4","5","5","3","4","5","3","3","4","3","5","3","4","4","3","5","4","5","4","3","4","4","5","3","3","5","4","4","4","3","5","4","4","4","2","4","5","3","4","3","4","3","3","4","5","3","4","4","4","4","4","3","4","4","4","4","3","4","3","4","5","5","5","4","3","4","4","4","4","4","4","5","4","2","3","4","4","2","4","2","4","4","5","3","2","1","4","4","3","3","2","5","5","1",NA,"3","31","Female","White","Prolific"
"Not Disclosed",116,"1,7,15,35,28","1","7","15","35","28","5","4","5","5","5","5","5","5","5","5","5","2","5","5","5","4","5","3","5","5","5","5","4","5","5","5","5","5","5","4","5","4","3","5","4","5","5","5","5","4","4","2","4","4","4","2","4","3","5","3","4","4","3","5","5","5","5","5","3","5","5","4","3","5","5","5","5","4","5","4","5","2","5","4","5","3","3","3","5","5","4","4","3","5","5","5","5","4","5","4","2","4","5","3","3","3","1","4","4","5","3","2","3","4","4","4","3","2","4","5","2",NA,NA,"52","Female","White","Prolific"
"Not Disclosed",117,"11,12,19,28,29","11","12","19","28","29","4","5","5","4","5","5","4","4","5","4","5","4","4","4","4","4","3","4","3","4","4","5","4","4","4","5","3","2","4","4","5","4","4","4","5","4","4","5","4","4","4","5","4","4","4","5","5","4","3","4","4","5","4","5","5","4","2","2","4","4","4","5","4","4","4","4","3","5","4","3","3","5","4","5","5","4","4","4","3","4","4","5","4","4","4","4","5","2","4","4","5","5","2","5","5","2","4","1","3","2","5","5","5","5","1","5","5","5","1","5","1","0","4","21","Male","White","sona"
"Disclosed",118,"4,9,13,15,31","4","9","13","15","31","2","4","4","5","4","3","4","4","4","3","4","1","1","4","4","1","4","1","4","4","4","2","4","4","4","4","4","2","4","2","4","4","2","4","4","3","2","2","4","2","4","2","2","2","2","1","2","1","3","4","4","1","4","3","4","4","5","2","2","4","4","4","3","5","5","4","4","4","4","4","4","2","2","2","4","1","2","1","4","4","2","2","4","4","4","4","4","4","2","1","4","5","5","1","4","4","4","3","5","5","4","4","5","4","4","3","3","4","2","4","1","0","2","22","Male","White","sona"
"Not Disclosed",119,"4,6,7,13,31","4","6","7","13","31","5","5","4","5","5","5","5","5","5","5","5","5","5","5","5","4","5","4","3","5","5","4","4","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","4","5","4","5","3","4","5","5","4","5","4","5","4","5","5","5","5","5","5","5","4","4","4","3","1","5","3","5","5","3","3","1","4","4","3","1","4","4","2","2","1","1","3","2",NA,NA,"21","Male","Asian","sona"
"Not Disclosed",120,"6,11,18,28,23","6","11","18","28","23","5","5","5","5","5","5","5","5","5","1","5","1","5","5","5","5","5","5","5","5","1","5","5","5","5","5","5","5","5","5","5","3","5","5","5","5","5","5","5","5","1","1","5","4","5","5","5","5","5","5","1","5","5","5","3","5","5","1","5","5","5","5","5","4","5","5","5","5","5","1","1","3","5","3","5","5","5","5","5","5","5","5","5","3","3","5","5","3","3","5","2","4","4","4","4","5","3","3","4","4","4","4","2","4","2","3","3","3","3","5","2",NA,NA,"19","Male","Black","sona"
"Disclosed",121,"6,9,22,24,28","6","9","22","24","28","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","3","4","5","3","5","5","5","5","4","5","4","5","1","3","5","5","5","5","4","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","4","3","3","4","2","3","2","4","4","3","4","3","4","2","4","3","4","3","4","2","1","0","1","20","Female","Other","sona"
"Not Disclosed",122,"6,9,11,13,31","6","9","11","13","31","4","4","4","4","4","4","5","5","5","2","4","2","4","4","4","4","4","4","5","4","4","4","4","4","5","5","5","4","4","4","4","2","2","4","4","4","4","4","4","4","4","2","2","4","4","2","2","2","5","2","4","4","4","2","4","5","4","2","4","2","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","2","2","2","2","4","4","2","4","2","2","4","2","2","4","2",NA,NA,"22","Female","White","sona"
"Not Disclosed",123,"7,13,15,26,23","7","13","15","26","23","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","1","3","5","1","4","3","1","5","5","5","2","2","1","4","5","2","1","1","5","5","1","2","4","20","Female","White","sona"
"Disclosed",124,"20,22,28,23,36","20","22","28","23","36","4","4","4","3","2","4","5","4","4","5","4","2","5","3","3","5","5","5","5","4","4","5","5","5","5","3","5","2","5","5","4","5","5","4","4","4","5","5","5","4","5","5","4","4","5","5","4","4","5","4","5","5","4","5","5","4","5","5","5","5","4","5","5","5","4","4","4","5","5","4","4","2","4","4","5","5","4","5","4","4","3","4","5","5","4","4","4","3","5","5","4","3","5","4","3","4","2","2","1","4","4","4","2","4","3","1","2","2","4","1","1","0","3","24","Female","White","sona"
"Disclosed",125,"5,21,30,31,23","5","21","30","31","23","4","4","5","5","5","5","4","4","5","3","5","3","3","4","4","3","5","4","4","5","5","5","4","3","5","5","5","3","5","4","5","3","5","5","4","5","5","5","5","4","5","3","4","4","4","3","5","3","5","4","4","5","3","4","4","5","5","4","5","4","5","4","5","5","4","4","5","4","5","4","5","4","4","4","4","3","5","3","4","5","4","5","4","4","4","5","5","4","5","4","4","3","3","3","5","3","4","1","4","4","4","5","3","4","1","4","4","2","3","2","2",NA,NA,"19","Female","White","sona"
"Not Disclosed",126,"13,19,26,29,23","13","19","26","29","23","4","5","4","5","5","5","4","4","4","5","3","4","4","3","4","5","5","5","4","5","4","5","4","5","5","4","3","3","4","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","4","5","4","3","3","4","4","3","2","4","5","1","4","2","3","4","2","5","5","4","5","5","4","4","4","4","4","1","5","5","2","5","5","4","5","4","5","3","5","4","5","4","5","5","2","4","2","5","2","4","1","30","6","23","Male","Mixed","sona"
"Disclosed",127,"1,35,24,26,36","1","35","24","26","36","4","3","1","5","5","4","5","4","5","5","4","1","1","4","4","1","2","1","5","3","4","5","4","2","1","4","5","1","5","2","5","2","2","5","4","2","5","5","5","4","5","3","2","4","4","2","3","1","4","3","3","5","4","2","4","3","5","2","5","5","4","2","2","4","5","3","3","4","4","2","4","1","2","5","2","2","5","1","4","4","3","4","3","3","5","4","4","2","5","3","1","4","3","3","5","4","4","2","3","3","3","4","1","4","3","3","2","3","5","4","1","3","5","20","Female","White","sona"
"Not Disclosed",128,"6,13,15,29,23","6","13","15","29","23","3","4","2","4","4","4","4","3","5","3","4","3","3","3","3","3","4","3","4","4","3","3","4","3","4","3","3","2","5","3","4","4","3","4","4","4","4","3","4","4","4","3","4","4","4","3","4","3","4","5","3","3","3","3","4","4","3","3","5","3","2","3","2","2","3","2","2","2","2","2","3","2","2","3","2","2","2","2","2","2","3","3","2","2","3","3","2","3","3","3","3","3","3","3","5","3","4","2","3","3","3","5","3","5","1","3","3","4","3","2","1","0","6","23","Female","Asian","sona"
"Not Disclosed",129,"7,12,13,15,19","7","12","13","15","19","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","3","4","3","3","4","4","4","3","3","4","4","4","3","4","3","4","4","4","3","3","2",NA,NA,"21","Female","Asian","sona"
"Disclosed",130,"4,14,19,24,27","4","14","19","24","27","4","4","3","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","5","3","4","3","3","4","4","4","3","4","4","4","4","4","4","5","4","4","3","4","4","4","4","4","5","4","4","3","4","4","4","3","4","4","4","3","4","3","4","4","4","4","4","4","4","4","4","4","3","4","4","3","4","4","4","5","4","3","4","4","4","3","3","4","3","3","4","4","4","4","4","3","4","3","5","4","4","4","3","5","5","4","4","4","2","5","4","4","3","5","1","0","1","20","Female","Asian","sona"
"Disclosed",131,"9,11,13,26,29","9","11","13","26","29","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","3","1","3","2","4","4","1","3","5","5","3","3","2","1","4","1","1","2","5","3","2",NA,NA,"20","Female","White","sona"
"Not Disclosed",132,"1,6,11,13,28","1","6","11","13","28","5","5","5","5","5","5","5","5","5","5","5","4","5","5","5","5","5","5","5","5","5","5","5","4","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","1","4","3","4","5","3","1","4","5","5","4","4","2","3","5","3","1","1","3","4","2",NA,NA,"21","Female","White","sona"
"Disclosed",133,"4,11,35,25,36","4","11","35","25","36","4","5","5","5","5","5","5","4","4","4","5","4","5","4","4","5","5","4","5","5","4","3","3","4","5","5","4","4","5","5","5","4","5","4","5","5","4","4","5","4","4","2","5","4","5","4","3","4","5","4","4","3","5","5","4","3","4","5","4","4","5","5","4","4","5","4","5","4","5","4","4","4","4","4","4","5","5","4","5","4","5","5","3","5","4","3","4","4","5","5","1","3","4","3","2","3","2","4","4","5","3","2","1","4","2","2","3","2","3","4","1","10","5","22","Female","White","sona"
"Not Disclosed",134,"6,7,9,11,18","6","7","9","11","18","4","3","4","5","4","5","4","4","4","5","5","1","3","5","5","5","5","3","5","4","3","1","4","4","4","5","5","1","4","3","5","4","4","3","4","4","3","4","4","2","2","2","5","5","4","4","5","2","4","4","3","1","3","5","4","4","4","1","4","4","5","3","4","4","2","4","4","5","4","1","1","1","5","5","4","4","4","3","4","4","3","1","5","5","4","4","4","4","1","4","2","4","4","2","3","4","2","3","3","3","4","3","3","4","1","3","5","3","3","2","2",NA,NA,"18","Male","Black","sona"
